address,name,file,length
0x22f3,gUnk_080022F3,asm/code_080011C4.o,0x8
0x22fb,gUnk_080022FB,asm/code_080011C4.o,0x7
0x2302,gUnk_08002302,asm/code_080011C4.o,0x7
0x2309,gUnk_08002309,asm/code_080011C4.o,0x7
0x2310,gUnk_08002310,asm/code_080011C4.o,0x7
0x2317,gUnk_08002317,asm/code_080011C4.o,0x7
0x231e,gUnk_0800231E,asm/code_080011C4.o,0x7
0x2325,gUnk_08002325,asm/code_080011C4.o,0x7
0x232c,gUnk_0800232C,asm/code_080011C4.o,0x2
0x232e,gUnk_0800232E,asm/code_080011C4.o,0x5
